Date,Temperature
2024-10-01,15.2
2024-10-02,14.8
2024-10-03,15.1
2024-10-04,16.5
2024-10-05,14.0
2024-10-06,12.3
2024-10-07,13.5
2024-10-08,15.8
2024-10-09,14.2
2024-10-10,13.6
2024-10-11,14.9
2024-10-12,15.0
2024-10-13,16.2
2024-10-14,17.1
2024-10-15,16.8
2024-10-16,15.5
2024-10-17,14.6
2024-10-18,13.3
2024-10-19,12.7
2024-10-20,11.5
2024-10-21,10.9
2024-10-22,11.2
2024-10-23,12.4
2024-10-24,13.0
2024-10-25,14.1
2024-10-26,13.5
2024-10-27,12.8
2024-10-28,11.0
2024-10-29,10.2
2024-10-30,9.5
2024-10-31,8.7
2024-11-01,9.1
2024-11-02,9.8
2024-11-03,10.3
2024-11-04,11.0
2024-11-05,11.5
2024-11-06,12.0
2024-11-07,12.3
2024-11-08,13.1
2024-11-09,14.0
2024-11-10,14.5
